type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,tello_battery,tello_height,tello_temperature,tello_flight_time,tello_barometer,tello_tof,tello_pitch,tello_roll,tello_yaw,tello_speed_x,tello_speed_y,tello_speed_z,tello_accel_x,tello_accel_y,tello_accel_z
CSI_DATA,10543,60:60:1f:fd:0a:5b,-63,8,0,0,0,0,0,0,0,0,0,-89,0,3,0,113256227,0,67,0,128,1,"[67,48,4,0,-2,22,-2,23,-3,24,-3,24,-3,25,-4,25,-4,25,-3,25,-3,26,-2,26,-2,25,-2,25,-1,26,0,26,0,26,0,27,0,27,1,27,0,27,0,26,0,26,0,26,0,27,0,28,-1,28,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-4,-10,-3,-10,-2,-9,-2,-8,-1,-8,0,-7,0,-6,0,-4,0,-3,0,-2,0,-1,0,0,0,1,0,2,-1,4,-1,5,-1,6,-1,7,-1,8,-1,10,-1,11,-1,13,-1,14,-1,16,0,17,0,18]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10556,60:60:1f:fd:0a:5b,-63,13,0,0,0,0,0,0,0,0,0,-89,0,3,0,113391643,0,67,0,128,1,"[67,48,4,0,4,-26,4,-28,5,-28,5,-28,4,-29,4,-30,4,-30,4,-30,3,-30,1,-30,0,-30,-1,-30,-2,-31,-2,-32,-3,-32,-3,-33,-2,-33,0,-33,0,-32,0,-32,-1,-32,-2,-32,0,-32,3,-31,5,-31,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,1,10,1,11,0,10,0,8,-1,6,-1,6,-1,5,-2,3,-2,1,-1,0,0,-1,0,-3,1,-4,2,-5,2,-6,3,-7,3,-8,3,-10,3,-12,3,-13,4,-15,4,-16,3,-19,3,-21,4,-22]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10565,60:60:1f:fd:0a:5b,-63,8,0,0,0,0,0,0,0,0,0,-89,0,3,0,113462128,0,67,0,128,1,"[67,48,4,0,-5,23,-6,24,-6,25,-7,25,-7,25,-7,25,-8,26,-7,26,-7,26,-7,26,-7,25,-7,25,-6,26,-6,27,-5,27,-5,27,-4,27,-4,27,-4,27,-4,26,-4,26,-4,26,-4,27,-5,27,-5,28,-2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-3,-10,-2,-10,-1,-10,-1,-9,-1,-8,0,-7,0,-6,0,-4,0,-3,0,-2,0,-1,0,0,-1,2,-1,3,-1,4,-1,5,-1,6,-2,8,-2,9,-2,10,-2,12,-2,13,-2,15,-2,17,-2,18,-2,19]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10587,60:60:1f:fd:0a:5b,-63,8,0,0,0,0,0,0,0,0,0,-89,0,3,0,113668725,0,67,0,128,1,"[67,48,4,0,-23,5,-24,5,-25,5,-25,4,-25,4,-26,4,-26,4,-26,4,-26,5,-26,5,-25,6,-26,6,-26,7,-26,7,-26,7,-26,8,-26,8,-27,8,-26,7,-26,7,-26,7,-26,7,-27,8,-27,8,-28,7,-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,7,-7,7,-6,7,-6,7,-5,6,-3,6,-3,5,-2,4,-1,2,-1,1,0,0,0,-1,1,-2,1,-3,1,-5,1,-6,1,-7,2,-8,2,-9,2,-11,2,-12,3,-13,3,-15,4,-16,5,-17,6,-18,6]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10595,60:60:1f:fd:0a:5b,-63,9,0,0,0,0,0,0,0,0,0,-89,0,3,0,113785694,0,67,0,128,1,"[67,48,4,0,6,25,6,26,6,26,6,27,7,27,8,28,8,28,8,27,9,27,10,26,11,26,13,26,14,26,14,26,15,27,16,27,15,28,14,28,14,27,14,27,15,27,16,27,15,27,12,29,9,30,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-5,-14,-4,-13,-3,-11,-2,-10,-1,-9,-1,-8,0,-7,1,-5,2,-4,2,-3,1,-2,0,0,0,1,-1,2,-1,3,0,5,0,6,0,7,0,9,1,10,1,12,2,13,2,15,3,17,4,19,4,21]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10599,60:60:1f:fd:0a:5b,-63,8,0,0,0,0,0,0,0,0,0,-89,0,3,0,113830942,0,67,0,128,1,"[67,48,4,0,8,21,8,22,8,23,7,23,7,23,7,23,7,24,7,24,8,24,8,24,8,24,8,24,9,24,10,24,10,24,10,23,11,24,11,24,11,23,11,23,10,23,10,23,11,24,11,25,10,26,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-8,-7,-7,-7,-6,-6,-5,-6,-4,-6,-3,-6,-3,-5,-2,-4,-1,-3,-1,-2,-1,-1,0,0,0,1,1,2,1,3,1,4,2,5,3,6,3,7,3,9,4,10,5,11,5,12,6,14,7,15,8,16]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10604,60:60:1f:fd:0a:5b,-63,8,0,0,0,0,0,0,0,0,0,-89,0,3,0,113877180,0,67,0,128,1,"[67,48,4,0,-22,-9,-23,-10,-23,-10,-23,-11,-23,-12,-23,-12,-23,-12,-24,-11,-24,-11,-25,-10,-24,-10,-24,-10,-25,-9,-26,-9,-26,-9,-26,-8,-27,-9,-27,-9,-26,-9,-26,-9,-26,-9,-26,-9,-27,-8,-28,-9,-28,-10,-7,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,10,-1,10,0,9,1,7,1,6,1,6,2,4,2,3,1,2,1,1,1,0,0,-1,0,-3,-1,-4,-1,-5,-2,-6,-2,-7,-2,-8,-3,-9,-3,-10,-4,-11,-4,-13,-5,-14,-5,-16,-5,-18,-5,-19,-5]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10608,60:60:1f:fd:0a:5b,-63,9,0,0,0,0,0,0,0,0,0,-89,0,3,0,113921740,0,67,0,128,1,"[67,48,4,0,21,13,22,14,22,15,23,15,24,14,25,14,24,14,24,13,25,12,26,11,26,10,27,9,28,8,28,9,29,8,30,8,30,8,29,9,29,10,29,9,29,8,30,8,30,9,28,12,27,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-10,1,-10,-2,-11,-4,-10,-5,-7,-4,-6,-4,-6,-4,-5,-4,-3,-3,-1,-3,-1,-3,-1,-1,1,0,2,1,2,2,3,3,4,4,5,5,6,5,8,6,10,7,11,7,12,8,14,9,17,10,18,11]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10632,60:60:1f:fd:0a:5b,-63,9,0,0,0,0,0,0,0,0,0,-89,0,3,0,114168049,0,67,0,128,1,"[67,48,4,0,-20,-16,-21,-16,-21,-17,-20,-17,-22,-17,-23,-17,-23,-18,-22,-18,-23,-17,-25,-15,-26,-14,-26,-13,-27,-13,-28,-13,-29,-13,-30,-13,-29,-14,-28,-15,-28,-15,-28,-15,-28,-14,-29,-14,-28,-16,-27,-18,-25,-20,-7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,5,8,3,8,2,8,4,8,6,8,7,5,6,3,4,2,4,1,2,1,1,0,0,-1,-1,-2,-2,-2,-3,-3,-4,-4,-5,-4,-6,-6,-6,-7,-7,-9,-9,-10,-10,-11,-13,-14,-15,-16,-13,-16,-13]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
CSI_DATA,10637,60:60:1f:fd:0a:5b,-63,8,0,0,0,0,0,0,0,0,0,-89,0,3,0,114219780,0,67,0,128,1,"[67,48,4,0,-21,-11,-22,-12,-22,-13,-22,-14,-22,-14,-22,-14,-22,-14,-22,-14,-23,-13,-23,-13,-23,-13,-23,-13,-24,-12,-25,-12,-25,-11,-25,-11,-25,-11,-26,-11,-25,-11,-25,-11,-25,-11,-25,-11,-26,-11,-27,-12,-27,-12,-7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,11,-1,11,0,9,1,7,2,7,3,6,3,5,3,3,2,2,2,1,1,0,1,-1,0,-2,-1,-3,-1,-4,-2,-5,-2,-6,-3,-7,-3,-8,-4,-9,-4,-10,-5,-12,-6,-13,-6,-15,-7,-17,-7,-18,-7]",58,0,89.5,61,-179.0,10,0,0,79,0,0,0,-5.0,0.0,-999.0
